Title,Country,Rating
"Love, Rosie",Germany/United Kingdom,7.1
M3GAN,United States/New Zealand,6.3
Oszukać przeznaczenie 3,United States/Canada,5.8
Zaklęci w czasie,United States,7.1
Creed II,United States,7.1
Billy Madison,United States,6.4
Miłość Larsa,Canada/United States,7.3
Chłopaki z sąsiedztwa,United States,7.8
Siedem lat w Tybecie,United States,7.1
Zły Mikołaj,Germany/United States,7.0
Dom nad jeziorem,United States,6.8
Winni,United States,6.3
Ray,United States,7.7
Diabeł wcielony,United States,7.1
Mój chłopak się żeni,United States,6.4
Zabójcze ciało,United States/Canada,5.5
Wciąż ją kocham,United States,6.3
Pathaan,India,5.8
Człowiek na krawędzi,United States,6.6
Śnieżne bractwo,Spain,7.8
Sprawa Kramerów,United States,7.8
Mr. Brooks,United States,7.3
Wzgórze nadziei,United States/Italy/Romania,7.2
Wielka draka w chińskiej dzielnicy,United States,7.2
Zakręcony piątek,United States,6.3
Przemytnik,United States/Canada,7.0
Najlepsze najgorsze wakacje,United States,7.4
Alicja w Krainie Czarów,United States,7.3
Sznur,United States,7.9
Negocjator,United States/Germany,7.3
Bracia,United States,7.1
Rybka zwana Wandą,United Kingdom/United States,7.5
"Good Morning, Vietnam",United States,7.3
Bambi,United States,7.3
"Kolejny film o Boracie: Tłusta łapówka dla amerykańskiego reżimu, by naród kazachski znów być wielki",United States/United Kingdom/Romania,6.6
Piotruś Pan,United States,7.3
Twój na zawsze,United States,7.1
Sound of Metal,United States,7.7
Evan Wszechmogący,United States,5.4
Joker: Folie à deux,United States/Canada,5.2
Annabelle: Narodziny zła,United States,6.5
Opór,United States,7.1
Równoległa rzeczywistość,United States/United Kingdom,7.2
"Kurier Francuski z Liberty, Kansas Evening Sun",United States/Germany/Sweden/France/United Kingdom,7.1
Dick i Jane: Niezły ubaw,United States,6.2
Sam,United States,7.6
K.G.F: Chapter 2,India,8.2
Płonące siodła,United States,7.7
Wstrząsy,United States,7.2
Mr. Deeds - Milioner z przypadku,United States,5.8
Mad Max pod Kopułą Gromu,Australia,6.2
Starsky i Hutch,United States,6.1
Dziki robot,United States/Japan,8.2
Igrzyska śmierci: Ballada ptaków i węży,United States/Canada,6.7
Państwo młodzi: Chuck i Larry,United States,5.9
Tylko strzelaj,United States,6.6
S.W.A.T. Jednostka Specjalna,United States,6.1
Labirynt,United Kingdom/United States,7.3
Teksańska masakra piłą mechaniczną,United States,6.2
"Zabić, jak to łatwo powiedzieć",United States,6.2
Kung Fu Szał,Hong Kong/China/United States,7.7
Nie opuszczaj mnie,United Kingdom/United States,7.1
Inna kobieta,United States,6.0
Brüno,United States/United Kingdom,5.9
Good Bye Lenin!,Germany,7.7
8 części prawdy,Mexico/Spain/United States,6.6
Kupiliśmy zoo,United States,7.0
Parnassus,United Kingdom/France/Canada,6.8
Rebeka,United States,8.1
Ujrzałem diabła,,7.8
Rocky V,United States,5.4
Arizona Junior,United States,7.3
Byliśmy żołnierzami,United States/France/Germany/United Kingdom,7.2
40 lat minęło,United States,6.2
Ucieczka z Alcatraz,United States,7.6
Zakochany kundel,United States,7.3
As w rękawie,United Kingdom/France/United States,6.6
Brooklyn,Ireland/United Kingdom/Canada/United States,7.5
Stuart Malutki,Germany/United States,6.0
W samym sercu morza,United States/Australia/Spain,6.9
Berek,United States,6.5
Martwe zło: Przebudzenie,Ireland/New Zealand/United States,6.5
Pszczelarz,United Kingdom/United States,6.3
Nieodwracalne,France,7.3
Resident Evil: Retrybucja,Germany/Canada/United States,5.3
Red Eye,United States,6.4
The Grudge: Klątwa,United States/Japan,5.9
Hrabia Monte Christo,Ireland/Switzerland/United Kingdom/United States,7.7
Horton słyszy Ktosia!,United States/United Kingdom,6.8
Do szpiku kości,United States,7.1
Tower Heist: Zemsta cieciów,United States/Japan,6.2
Poważny człowiek,United Kingdom/France/United States,7.0
Firma,United States,6.9
Oni żyją,United States,7.2
Rzut życia,United States,7.3
Men in Black: International,United States/China,5.6
Książę Egiptu,United States/Canada,7.2
Bodyguard,United States,6.4
The Predator,Canada/United States/United Kingdom/India/Australia/Brazil/China,5.3
Było sobie kłamstwo,United States,6.4
O wszystko zadbam,United States/United Kingdom,6.4
Potrójna granica,United States,6.5
Challengers,Italy/United States,7.0
Wallace i Gromit: Klątwa Królika,United Kingdom/United States,7.5
Wielki Mur,United States/China/Hong Kong/Australia/Canada/Japan,5.9
Nieśmiertelny,United Kingdom/United States,7.0
Autopsja Jane Doe,United Kingdom,6.8
9,United States/Canada/Luxembourg/United Kingdom,7.0
Kacper,United States,6.2
Foxcatcher,United States,7.0
Wierny ogrodnik,United Kingdom/Germany/Kenya/France/United States/Switzerland,7.3
Miłość i potwory,Canada/United States/Australia,6.9
Rzymskie wakacje,United States,8.0
Chciwość,United States,7.1
Carrie,United States,5.8
Hotel Transylwania 2,United States/Canada,6.6
Spring Breakers,United States/France,5.3
Wicked,United States/Japan/Canada/Iceland/United Kingdom,7.5
Nić widmo,United States/China,7.4
Rodzinne rewolucje,United States,6.5
Nieznajomi,United States,6.1
Oto Spinal Tap,United States,7.9
Tajemnice lasu,United States/Canada/Italy/United Kingdom,5.9
"Jack, pogromca olbrzymów",United States,6.3
Stalker,,8.0
Zabawy z bronią,United States/Canada/Germany,8.0
Cienki Bolek,United States,6.0
Obdarowani,United States,7.6
Escape Room,United States/South Africa,6.4
Pozdrowienia z Rosji,United Kingdom/United States,7.3
Mroczna wieża,United States,5.6
Królestwo Planety Małp,United States,6.9
Manhattan,United States,7.8
Całkiem zabawna historia,United States,7.1
Coś,United States/Canada,6.2
Magic Mike,United States,6.1
Obecność 3: Na rozkaz diabła,United States,6.3
Smakosz,Germany/United States,6.2
Godzina zemsty,United States,7.1
Poprzednie życie,United States,7.8
Głupi i głupszy bardziej,United States/Japan,5.6
Joy,United States,6.6
Dziewczyna z ekstraklasy,United States,6.4
Płytki facet,United States/Germany,6.0
Świadek oskarżenia,United States,8.4
183 metry strachu,United States,6.3
"Stary, gdzie moja bryka?",United States,5.5
Władcy ognia,United States,6.2
Mój kuzyn Vinny,United States,7.6
Chwała,United States,7.8
Dzieciak rządzi,United States,6.3
Król Skorpion,Germany/United States/Belgium,5.5
Między nami żywiołami,United States,7.0
John Q.,United States,7.1
Tomb Raider: Kolebka życia,United States/Germany/Japan/United Kingdom/Hong Kong,5.5
Carol,United Kingdom/France/Australia/United States,7.3
Moje wielkie greckie wesele,Canada/United States/Germany,6.6
Likwidator,United States,6.3
Ciche miejsce: Dzień pierwszy,United States/United Kingdom/Canada,6.3
R.I.P.D. - Agenci z zaświatów,United States,5.6
Zabójcze maszyny,United States/New Zealand/Japan/China,6.1
Billy Elliot,United Kingdom/France,7.7
Sala strachu,United States,7.0
Spartakus,United States,7.9
Dzikie łowy,New Zealand,7.8
Licorice Pizza,United States/Canada,7.1
Nadchodzi Polly,United States,6.0
Hellraiser: Wysłannik piekieł,United Kingdom,6.9
Kiedy gasną światła,United States,6.3
Piekielna głębia,United States/Mexico,5.9
Węże w samolocie,United States/Germany/Canada,5.5
8 milimetrów,Germany/United States,6.6
Motyl. Still Alice,United States/United Kingdom/France,7.5
I tak cię kocham,United States,7.5
Marvels,United States,5.5
Good Time,United States,7.3
Dumbo,United States,7.2
"Ave, Cezar!",United States/United Kingdom/Japan,6.3
Straszny dom,United States,6.7
Król Richard: Zwycięska rodzina,United States/Australia,7.5
Witajcie w dżungli,United States,6.7
Paddington,United Kingdom/France,7.3
W pogoni za Amy,United States,7.2
Gorzka siedemnastka,United States/China,7.3
Ścieżka strachu,United States,7.7
Obrońcy skarbów,Germany/United States,6.1
Beetlejuice Beetlejuice,United States/France,6.7
Fantastyczne przygody Billa i Teda,United States/Italy/Canada,6.9
12th Fail,India,8.8
Greenland,United States/United Kingdom,6.4
Nieznajomi z pociągu,United States,7.9
Johnny English: Reaktywacja,United Kingdom/France/United States,6.3
Capote,United States/Canada,7.3
Wykolejona,United States,6.2
Złodziejka książek,Germany/United States/United Kingdom,7.5
Gdzie śpiewają raki,United States,7.2
Green Zone,United Kingdom/France/Spain/United States/Japan,6.8
Noc żywych trupów,United States,7.8
Oculus,United States,6.5
Rambo 3,United States,5.8
Rekrut,United States/Switzerland,6.6
Bronson,United Kingdom/Denmark/United States/Cayman Islands,7.0
Egzorcyzmy Emily Rose,United States,6.7
Na krawędzi,France/Italy/Japan/United States,6.5
Baahubali: Początek,India,8.0
Robin Hood,United States,7.5
Złodziej tożsamości,United States,5.7
Wszystko o Ewie,United States,8.2
Godziny,United States,7.5
Harold i Kumar uciekają z Guantanamo,United States,6.5
Francuski łącznik,United States,7.7
Wpuszczony w kanał,United Kingdom/United States,6.6
Nerve,United States/Hong Kong,6.5
Bez litości 3. Ostatni rozdział,United States/Italy/Australia,6.8
Akademia policyjna,United States,6.7
Gliniarz z Beverly Hills II,United States,6.6
Piła V,United States/Canada,5.8
Ran,Japan/France,8.2
Polowanie,China/Japan/United States,6.6
Dzika droga,United States,7.1
Clerks: Sprzedawcy 2,United States,7.3
Przyjęty,United States,6.4
Tylko nie ty,Australia/United States,6.1
Kubo i dwie struny,United Kingdom/United States,7.7
Bliźniacy,United States,6.2
Lakier do włosów,United States/United Kingdom/Canada,6.7
Udając gliniarzy,United States,6.4
Człowiek widmo,Germany/United States,5.9
Motylek,France/United States,8.0
Epidemia,United States,6.6
"Earl i ja, i umierająca dziewczyna",United States,7.7
Sztuka zrywania,United States,5.8
Noc w muzeum: Tajemnica grobowca,United Kingdom/United States,6.2
Naciągacze,United States,7.3
"Och, życie!",United States,6.5
Gamer,United States,5.7
Anastazja,United States,7.1
Robin Hood: Faceci w rajtuzach,United States/France,6.7
Ze śmiercią jej do twarzy,United States,6.7
Wątpliwość,United States,7.5
Konklawe,United Kingdom/United States,7.4
Oni,United States/Mexico,6.6
Dary Anioła: Miasto kości,United States/Germany/Canada/United Kingdom,5.8
Omen,United Kingdom/United States,7.5
Atlantyda - zaginiony ląd,United States/Japan,6.9
Antychryst,Denmark/Germany/France/Sweden/Italy/Poland,6.5
Skok stulecia,United States,7.0
Śnięty Mikołaj,United States/Canada,6.6
Człowiek z księżyca,United Kingdom/Germany/Japan/United States,7.4
Brzdąc,United States,8.2
Jack Ryan: Teoria chaosu,United States/United Kingdom,6.2
Serpico,United States/Italy,7.7
Wierna,United States,5.7
Obcy kontra Predator 2,United States,4.6
Planeta skarbów,United States,7.2
Zostawić Las Vegas,United States,7.5
Co kryje prawda,United States,6.6
Drapacz chmur,United States,5.8
"Człowiek, który gapił się na kozy",United States/United Kingdom,6.2
Siedem sióstr,United Kingdom/France/United States/Belgium,6.8
Była sobie dziewczyna,United Kingdom/United States,7.2
Miasteczko Pleasantville,United States,7.5
Dom woskowych ciał,Australia/United States,5.5
Czarne lustro: Bandersnatch,United Kingdom/United States,7.1
Okup,United States,6.7
Ewolucja,United States,6.1
Wyborcze jaja,United States,6.1
Piąty wymiar,United Kingdom/Australia/United States,6.9
Projekt Floryda,United States,7.6
Droga bez powrotu,United States/Germany/Canada,6.1
Rozgrywka,United States/Germany/Canada,6.8
Czerwona Jedynka,United States/Canada,6.3
Kowboj z Szanghaju,United States/Hong Kong,6.6
Last Vegas,United States,6.6
The Walk: Sięgając chmur,United States,7.3
Babe - świnka z klasą,Australia/United States/United Kingdom,6.9
Imperium Słońca,United States,7.7
Pearl,United States/New Zealand,7.0
Złe mamuśki,United States/China,6.2
The Host: Potwór,Japan,7.1
Wakacje Jasia Fasoli,United Kingdom/France/Germany/United States,6.4
Elita zabójców,United Kingdom/Australia/United States/Jordan/Morocco,6.4
Daybreakers. Świt,Australia/United States,6.4
Ugotowany,United States/United Kingdom,6.6
Co ty wiesz o swoim dziadku?,United States/United Kingdom,5.9
Dwóch papieży,United Kingdom/Italy/Argentina/United States,7.6
"10,000 BC: Prehistoryczna legenda",United States/South Africa/New Zealand/Germany,5.1
Człowiek-scyzoryk,United States,6.9
Marzyciele,United Kingdom/France/Italy/United States,7.1
Dorwać byłą,United States,5.5
Straż przyboczna,Japan,8.2
Okja,United States,7.3
Początek,United States,7.3
T2: Trainspotting,United Kingdom/United States,7.1
Skarb Sierra Madre,United States,8.2
Savages: ponad bezprawiem,United States,6.4
Krzyk VI,United States/Canada/United Kingdom,6.4
16 przecznic,United States/Germany/United Kingdom/Canada,6.6
Lorax,United States/France,6.4
Głowa do wycierania,United States,7.3
Syriana,United States/United Arab Emirates,6.9
Dil Bechara,India,8.3
Aniołki Charliego 2: Zawrotna szybkość,United States,4.9
Shazam! Gniew bogów,United States/Germany/New Zealand/United Kingdom/India/Canada,5.9
Szkoła melanżu,United States,7.1
Wszystko w porządku,United States/France,7.0
Dzikie żądze,United States,6.6
Zdjęcie w godzinę,United States,6.8
Podróż do wnętrza Ziemi,United States,5.8
Persona,Sweden,8.0
Schmidt,United States,7.2
J. Edgar,United States,6.5
Rzeź,France/Germany/Poland/Spain,7.1
Trzynasty wojownik,United States,6.6
Gra Geralda,United States,6.5
Opowieść wigilijna,United States,6.8
Adipurush,India,2.7
W obronie własnej,United States,6.5
Straż sąsiedzka,United States,5.7
Raid 2: Infiltracja,Indonesia/United States/Malaysia,7.9
Nimfomanka: Część I,Denmark/Germany/Belgium/United Kingdom/France/Sweden/United States,6.9
Pułapka,United States/Canada,5.8
Æon Flux,United States/Germany/Brazil/Italy,5.4
Auta 3,United States/Japan,6.7
Królestwo,United States/Germany/United Arab Emirates,7.0
Rebel Moon - część 1: Dziecko ognia,United States,5.6
Star Trek: Pierwszy kontakt,United States,7.6
Halloween,United States,6.0
Infernal Affairs: Piekielna gra,Hong Kong,8.0
Upiór w operze,United Kingdom/United States,7.2
Tata kontra tata,United States,6.2
Łzy słońca,United States,6.6
Mitchellowie kontra maszyny,Hong Kong/Canada/United States,7.6
Małe rzeczy,United States,6.3
I twoją matkę też,Mexico,7.7
Willow,United States,7.2
Sąsiedzi 2,United States/China,5.7
Fahrenheit 9.11,United States,7.5
Szybcy i wściekli 10,United States/China/Japan,5.7
Bez smyczy,United States,5.9
Pole marzeń,United States,7.5
Straszny film 4,United States,5.1
Ministerstwo niebezpiecznych drani,United States/United Kingdom,6.8
Dobry dinozaur,United States/Japan,6.7
Pukając do drzwi,United States/Japan/China,6.1
Opętani,United Arab Emirates/United States,6.5
Wehikuł czasu,United States/United Arab Emirates,6.0
TRON,United States/Japan/United Kingdom,6.7
Na własne ryzyko,United States,6.9
Koneser,Italy,7.8
Lepiej późno niż później,United States,6.7
Parker,United States,6.2
Bielmo,United States,6.6
Menażeria,United States,7.4
Świt żywych trupów,United States/Italy,7.8
Eragon,United States/United Kingdom/Hungary,5.1
Alex sam w domu,United States,4.6
Star Trek II: Gniew Khana,United States,7.7
Pacific Rim: Rebelia,United Kingdom/China/Japan/United States/Mexico,5.6
Jak ugryźć 10 milionów,United States,6.7
Strefa interesów,United Kingdom/Poland/United States,7.3
Julie i Julia,United States,7.0
Scooby-Doo,United States/Australia,5.3
Połączenie,United States,6.7
Barton Fink,United Kingdom/United States,7.6
Shershaah,India,8.3
Max Payne,United States/Canada,5.3
Australia,United Kingdom/Australia/United States,6.6
To właśnie Anglia,United Kingdom,7.7
"Do wszystkich chłopców, których kochałam",United States,7.0
Sztandar chwały,United States,7.1
Zostańmy przyjaciółmi,Germany/United States/Canada,6.2
Nigdy cię tu nie było,United Kingdom/France,6.7
Oszukać przeznaczenie 5,United States/Canada,5.9
Freddy kontra Jason,Canada/United States,5.7
Gorący temat,Canada/United States,6.8
Mali agenci,United States,5.6
Szczury z supermarketu,United States,7.0
Operacja 'Piorun',United Kingdom/United States,6.9
Szesnaście świeczek,United States,7.0
Czterysta batów,France,8.0
Miasto aniołów,Germany/United States,6.7
Rozważna i romantyczna,United Kingdom/United States,7.7
Wszyscy ludzie prezydenta,United States,7.9
Golfiarze,United States,7.2
Bogowie Egiptu,United States/Australia/China/Hong Kong,5.4
6-ty dzień,United States,5.9
Dlaczego on?,United States,6.2
"Paryż, Teksas",Germany/France/United Kingdom,8.1
Piła VI,Canada/United States/Australia,6.0
Duchy w Wenecji,United States,6.5
Dwa tygodnie na miłość,United States/Australia,6.2
Rytuał,United Kingdom/Canada,6.3
Piątek,United States,7.2
Pomniejszenie,United States/Norway,5.8
Step Up - Taniec zmysłów,United States,6.5
Egzamin,United Kingdom,6.7
Twój Simon,United States,7.5
Asteroid City,United States,6.4
Seks w wielkim mieście,United States,5.7
Percy Jackson: Morze potworów,United States/Canada,5.7
Pozwól mi wejść,United Kingdom/United States/Sweden,7.1
Buzz Astral,United States/Canada,6.1
Ghost Rider 2,United Arab Emirates/United States,4.3
"Zostań, jeśli kochasz",United States,6.7
Rozmowa,United States,7.7
Mój brat niedźwiedź,United States/Japan,6.9
Dźwięk wolności,Mexico/United States,7.6
Karmazynowy przypływ,United States,7.4
Bone Tomahawk,United States/United Kingdom,7.1
Krocząc wśród cieni,United States,6.5
Ghost World,United Kingdom/Germany/United States,7.3
Heretic,United States/Canada,7.0
Życie za życie,United Kingdom/Germany/United States,7.5
Pasażer,United States/United Kingdom/France/China/Canada/Spain,6.3
Osiem i pół,Italy/France,8.0
Kobieta-Kot,United States,3.4
Bridget Jones: W pogoni za rozumem,Ireland/United Kingdom/France/United States,6.0
Nieustraszeni bracia Grimm,United Kingdom/United States,5.9
Szakal,United Kingdom/France/Germany/Japan/United States,6.4
Męska gra,United States,6.9
Sędzia Dredd,United States/Netherlands/United Kingdom,5.6
Alicja po drugiej stronie lustra,United States/Thailand/United Kingdom/India/Canada,6.2
Zrodzony w ogniu,United Kingdom/United States,6.7
Człowiek przyszłości,United States/Germany,6.9
Dawca pamięci,Canada/South Africa/United States,6.4
Siła i honor,United States,7.2
Suma wszystkich strachów,United States/Germany/Canada,6.5
Amerykański wilkołak w Londynie,United Kingdom/United States,7.5
Dziewczyna z Alabamy,United States,6.2
Kontrabanda,United States/United Kingdom/France,6.4
Walentynki,United States,5.8
Wojna Charliego Wilsona,Germany/United States,7.0
Cudzoziemiec,United Kingdom/China/United States/India/Switzerland,7.0
Mortal Kombat,United States,5.8
Sens życia według Monty Pythona,United Kingdom/United States,7.5
Bliźniak,United States/China/Colombia,5.7
Fabelmanowie,United States/India,7.5
Gruby i chudszy,United States,5.7
Soorarai Pottru,India,8.7
Milczenie,United States/United Kingdom/Italy/Mexico/Japan,7.2
Klucz do koszmaru,Germany/United States,6.5
Miami Vice,United States/Germany/Paraguay/Uruguay,6.1
Maria Antonina,France/Japan/United States,6.5
Rodzina od zaraz,United States,7.3
Osaczeni,United Kingdom/Germany/United States,6.3
W nowym zwierciadle: Wakacje,United States,6.2
Hamilton,United States,8.3
Ksiądz,United States,5.7
Wyścig szczurów,United States/Canada,6.5
Naga broń 2½: Kto obroni prezydenta?,United States,6.9
Igraszki losu,United States,6.8
Przetrwać w Nowym Jorku,United States,7.3
Prawdziwa jazda,United States,6.1
Nocny kowboj,United States,7.8
Podaj dalej,United States,7.2
Nebraska,United States,7.7
Family Man,United States,6.8
Patch Adams,United States,6.8
Geostorm,United States/Hong Kong/Japan/United Arab Emirates,5.3
Porachunki,France/United Kingdom/United States,6.3
Król komedii,United States,7.8
Gang dzikich wieprzy,United States,5.9
Niedobrani,United States/Canada/Colombia,6.8
Pan Smith jedzie do Waszyngtonu,United States,8.1
Zielony Rycerz. Green Knight,United States/Canada/Ireland,6.6
Funny People,United States,6.3
Czarownica 2,United Kingdom/Canada/United States/France,6.6
Ich własna liga,United States,7.4
Niepokonani,United States/Poland/United Arab Emirates/India,7.3
West Side Story,United States,7.6
Wygrane marzenia,United States,5.8
Bonnie i Clyde,United States,7.7
Zgon na pogrzebie,Netherlands/United Kingdom/Germany/United States,7.3
Czas patriotów,United States,6.8
"tick, tick... Boom!",United States,7.5
Laleczka Chucky,United States,6.7
Kolor szafranu,India,8.1
W krzywym zwierciadle: Wakacje,United States,7.3
Uwolnienie,United States,7.6
Ulice nędzy,United States,7.2
Pozdrowienia z Paryża,France/United Kingdom/United States,6.4
Lagaan: Dawno temu w Indiach,India/United States,8.1
Królowie ulicy,United States,6.8
Zaproszenie,United States,6.6
Łowca i Królowa Lodu,United States/China,6.1
Niewybaczalne,United Kingdom/Germany/United States,7.1
Naznaczony: Rozdział 3,United Kingdom/Canada/United States,6.1
Gorączka złota,United States,8.1
Wigilijny show,United States,6.9
Kochanice króla,United Kingdom/United States,6.7
Drabina Jakubowa,United States,7.4
Once,Ireland/United States,7.8
Misja Greyhound,United States/Canada/China,7.0
Świąteczna gorączka,United States,5.8
Bahubali: Final,India,8.2
Poznaj naszą rodzinkę,United States,5.5
Maverick,United States,7.0
Magia uczuć,United States/South Africa/India,7.8
Imię róży,Germany/Italy/France,7.7
Woda dla słoni,United States/United Kingdom,6.9
Śmiertelne zauroczenie,United States,7.1
Późna noc z diabłem,Australia/United Arab Emirates/United States,7.0
Gothika,United States,5.8
Obłęd,Germany/United States,7.1
Oszukać przeznaczenie 4,United States,5.1
"Jako w piekle, tak i na Ziemi",United States/France,6.3
Frankenweenie,United States/United Kingdom,6.9
Kamerdyner,United States,7.2
Piątek 13.,United States,5.5
Płoty,United States/Canada,7.2
Glengarry Glen Ross,United States,7.7
Protektor,United States,6.5
Żyje się tylko dwa razy,United Kingdom/Japan,6.8
Destrukcja,United States,7.0
Piąta fala,United Kingdom/United States,5.2
Doom,United Kingdom/Germany/United States,5.2
Przyjaciel do końca świata,United States,6.7
Egzekutor,United States,6.2
Jak w niebie,United States,6.7
101 dalmatyńczyków,United States/United Kingdom,5.8
Oficer Blart,United States,5.3
Nie patrz w dół,United Kingdom/United States,6.4
Wożąc panią Daisy,United States,7.3
To nie jest kolejna komedia dla kretynów,United States,5.8
Sekstaśma,United States,5.1
Transformers: Przebudzenie bestii,United States/Canada/United Kingdom/New Zealand/Hungary/Peru/China,6.0
Godzilla i Kong: Nowe imperium,United States/Australia,6.0
Tylko Bóg wybacza,Denmark/France/United States/Sweden/Belgium/Thailand,5.7
Hot Shots!,United States,6.7
Beztroskie lata w Ridgemont High,United States,7.1
Zathura: Kosmiczna przygoda,United States,6.3
Tańcząc w ciemnościach,Denmark/Germany/Netherlands/Italy/United States/United Kingdom/France/Sweden/Finland/Iceland/Norway,7.9
Swobodny jeździec,United States,7.2
Bez hamulców,United States,6.5
Kandydat,United States,6.6
Mississippi w ogniu,United States,7.8
Intruz,United States/Switzerland,5.8
Samotny mężczyzna,United States,7.5
Amityville,United States,5.9
"Szpieg, który mnie kochał",United Kingdom/United States,7.0
Guillermo del Toro: Pinokio,United States/Mexico/France,7.6
Urodzony 4 lipca,United States,7.2
"Ja cię kocham, a ty śpisz",United States,6.8
Klopsiki kontratakują,United States/Canada,6.3
"Tam, gdzie rosną poziomki",Sweden,8.1
Porozmawiaj z nią,Spain/United States,7.9
Śmierć Stalina,France/United Kingdom/Belgium/Canada/United States,7.3
Przez ciemne zwierciadło,United States,7.0
Krokodyl Dundee,Australia,6.6
Pompeje,Canada/Germany/United States/United Kingdom,5.5
Aryskotraci,United States,7.1
Małe dzieci,United States,7.5
Nazywam się Khan,India/United Arab Emirates/United States/China,7.9
Żyj i pozwól umrzeć,United Kingdom,6.7
Smętarz dla zwierzaków,United States,6.5
Trans,United Kingdom/France/United States,6.9
I stanie się koniec,United States,5.8
Podkręć jak Beckham,United Kingdom/Germany/United States,6.7
Częstotliwość,United States,7.4
Gran Turismo,Japan/United States,7.1
Kokainowy miś,United States/Ireland/New Zealand/Netherlands/United Kingdom,5.9
Ślubne wojny,United States,5.5
Brud,United Kingdom/Germany/Sweden/Belgium/United States,7.0
Hannibal. Po drugiej stronie maski,United Kingdom/France/Italy/United States,6.1
Bezpieczna przystań,United States,6.7
Malena,Italy/United States,7.4
Superman II,United Kingdom/United States,6.8
Mexican,United States/Mexico,6.1
"Hej, skarbie",United States,7.3
Tootsie,United States,7.4
Nosferatu - symfonia grozy,Germany,7.8
Wieczny student,Germany/United States,6.4
Fala,Germany/France,7.6
Radio na fali,United Kingdom/France/Germany/United States,7.3
Koe no katachi,Japan,8.1
Portret kobiety w ogniu,France,8.1
Na linii ognia,United States,7.2
Raj dla par,United States,5.5
Nocny pościg,United States,6.6
Dom latających sztyletów,China/Hong Kong,7.5
Diamenty są wieczne,United Kingdom,6.5
"Rób, co należy",United States,8.0
Dzień patriotów,Hong Kong/United States,7.3
"Człowiek, którego nie było",United Kingdom/United States,7.5
Wynalazek,United States,6.7
Reggae na lodzie,United States,7.0
Królowa,United Kingdom/United States/France/Italy,7.3
Dziewczyna w czerwonej pelerynie,United States/Canada,5.4
Turbo,United States/India,6.4
Push,United States/Canada,6.1
Wydział pościgowy,United States,6.6
Między piekłem a niebem,New Zealand/United States,7.0
Tenacious D: Kostka Przeznaczenia,United States/Germany,6.8
Tango i Cash,United States,6.4
Tramwaj zwany pożądaniem,United States,7.9
Goło i wesoło,United Kingdom/United States,7.2
Gremliny 2,United States,6.4
Paradoks Cloverfield,United States,5.5
Świat w ogniu,United States,6.4
Człowiek ze złotym pistoletem,United Kingdom,6.7
Kieł,Greece,7.1
Stoker,United Kingdom/United States,6.7
Power Rangers,United States/Hong Kong/Japan/Canada/New Zealand,5.9
Postrach nocy,United States/India,6.4
Rodzina Addamsów II,United States,6.8
"Nim diabeł dowie się, że nie żyjesz",United States,7.3
Ich noce,United States,8.1
Lustra,United States/Romania/Germany/France,6.1
Ciemniejsza strona Greya,United States/China/Japan,4.6
Ośmiorniczka,United Kingdom,6.5
Wejście smoka,Hong Kong/United States,7.6
Rodzinka Robinsonów,United States,6.8
Movie 43,United States,4.4
Za linią wroga,United States,6.4
Wcielenie,United States/China,6.2
Szczęściarz,United States,6.4
Podróż na tajemniczą wyspę,United States,5.7
Ostatni skaut,United States,7.0
Gry wojenne,United States,7.1
Across the Universe,United Kingdom/United States,7.3
Anakonda,United States/Brazil/Peru,4.9
Dom,United States/India,6.5
Straż wiejska,United States,7.0
Legion,United States,5.3
Mały Nicky,United States,5.3
Naga broń 33 1/3: Ostateczna zniewaga,United States,6.5
Licencja na zabijanie,United Kingdom/United States/Mexico,6.7
Trop,United States,7.3
Ostatni cesarz,China/Italy/United Kingdom/France,7.7
Super Size Me,United States/Bulgaria,7.2
Zapłata,United States/Canada,6.3
Kula,United States,6.1
Grimsby,United Kingdom/United States,6.2
Wojownicy,United States,7.5
Zakręcony,Germany/United States,6.1
Żelazna Dama,United Kingdom/France,6.4
Wilkołak,United States/Japan,5.8
Kafarnaum,Lebanon/United States/France/Cyprus/Qatar/United Kingdom,8.4
Mamma Mia! Here We Go Again,United Kingdom/United States/Japan/China/Croatia,6.6
Noc oczyszczenia: Czas wyboru,United States,6.0
Rycerze z Szanghaju,United States/Hong Kong,6.2
Mroczne wody,United States,7.6
Opiekunka,United States,6.4
Następny jesteś ty,United States/United Kingdom,6.6
Rambo: Ostatnia krew,United States/Hong Kong/France/Bulgaria/Spain/Sweden/Portugal,6.1
W pogoni za zemstą,United States,6.4
"Spadaj, tato",United States,5.6
Trzy kolory: Niebieski,France/Poland/Switzerland,7.8
Lekarstwo na życie,Germany/Luxembourg/United States,6.4
Osaczony,United States/Germany,6.5
Tak to się teraz robi,United States,6.1
Elitarni,Brazil/Argentina,8.0
Frost/Nixon,United States/United Kingdom/France,7.6
Piła 3D,Canada/United States,5.5
Szkoła czarownic,United States,6.5
Wada ukryta,United States,6.6
Cztery pokoje,United States,6.7
Bodyguard i żona zawodowca,United Kingdom/United States/Sweden/Bulgaria/France,6.1
Brahmastra Part One: Shiva,India/United Kingdom/United States,5.6
Wujaszek Buck,United States,7.1
Trzej muszkieterowie,United States/Germany/France/United Kingdom,5.7
Hit Man,United States,6.8
Ip Man 2,Hong Kong/China,7.5
Dzika noc,United States/Canada/Japan,6.7
